Z,N,A,actual_binding_energy_per_A_keV,uam_v4_prediction_keV_per_A,frdm2012_prediction_keV_per_A,uam_v4_residual_keV_per_A,frdm2012_residual_keV_per_A,uam_v4_absolute_residual_keV_per_A,frdm2012_absolute_residual_keV_per_A,lower_error_model
89,146,235,7573.5051,7572.65152680399,7573.063829787234,-0.8535731960100748,-0.44127021276653977,0.8535731960100748,0.44127021276653977,FRDM2012
89,147,236,7559.2423,7561.847852555984,7559.703389830508,2.6055525559841044,0.46108983050817187,2.6055525559841044,0.46108983050817187,FRDM2012
89,148,237,7550.0,7551.8163,7550.2531645569625,1.8163000000004104,0.2531645569624743,1.8163000000004104,0.2531645569624743,FRDM2012
90,118,208,7652.5716,7656.09,7650.096153846154,3.5183999999999287,-2.475446153845951,3.5183999999999287,2.475446153845951,FRDM2012
90,119,209,7656.0,7659.8542,7655.502392344498,3.8541999999997643,-0.4976076555021791,3.8541999999997643,0.4976076555021791,FRDM2012
90,120,210,7669.0764,7667.242880429176,7668.428571428572,-1.8335195708241372,-0.6478285714283629,1.8335195708241372,0.6478285714283629,FRDM2012
90,121,211,7671.8506,7669.858628107131,7672.037914691943,-1.9919718928686052,0.1873146919433566,1.9919718928686052,0.1873146919433566,FRDM2012
90,122,212,7682.0628,7682.53682564645,7682.735849056604,0.47402564645017264,0.6730490566042135,0.47402564645017264,0.6730490566042135,UAM_V4
90,123,213,7683.847,7685.471859623754,7684.835680751174,1.6248596237546735,0.988680751173888,1.6248596237546735,0.988680751173888,FRDM2012
90,124,214,7692.3173,7693.02402403028,7693.411214953271,0.7067240302803839,1.093914953271451,0.7067240302803839,1.093914953271451,UAM_V4
90,125,215,7693.0266,7690.352166581589,7693.2558139534885,-2.674433418411354,0.22921395348839724,2.674433418411354,0.22921395348839724,FRDM2012
90,126,216,7697.6617,7694.847108827902,7699.62962962963,-2.8145911720976073,1.9679296296299071,2.8145911720976073,1.9679296296299071,FRDM2012
90,127,217,7690.5945,7691.198198129254,7691.382488479263,0.6036981292536439,0.7879884792628218,0.6036981292536439,0.7879884792628218,UAM_V4
90,128,218,7691.6026,7693.262145455502,7691.146788990825,1.6595454555017568,-0.4558110091747949,1.6595454555017568,0.4558110091747949,FRDM2012
90,129,219,7683.7655,7684.150903666558,7683.607305936073,0.385403666557977,-0.15819406392711244,0.385403666557977,0.15819406392711244,FRDM2012
90,130,220,7684.4964,7684.600410145618,7684.090909090909,0.1040101456183038,-0.40549090909098595,0.1040101456183038,0.40549090909098595,UAM_V4
90,131,221,7676.064,7676.627196095911,7677.194570135746,0.5631960959108255,1.1305701357459839,0.5631960959108255,1.1305701357459839,UAM_V4
90,132,222,7676.6592,7676.677751669348,7676.801801801802,0.01855166934819863,0.14260180180190218,0.01855166934819863,0.14260180180190218,UAM_V4
90,133,223,7668.6426,7668.314485616939,7669.192825112108,-0.3281143830608926,0.5502251121079098,0.3281143830608926,0.5502251121079098,UAM_V4
90,134,224,7667.7162,7667.581068544101,7667.8125,-0.1351314558987724,0.0963000000001557,0.1351314558987724,0.0963000000001557,FRDM2012
90,135,225,7659.2229,7658.943032573559,7659.066666666667,-0.2798674264404326,-0.15623333333314804,0.2798674264404326,0.15623333333314804,FRDM2012
90,136,226,7657.1195,7657.246829442825,7656.194690265486,0.1273294428256122,-0.9248097345134738,0.1273294428256122,0.9248097345134738,UAM_V4
90,137,227,7647.4591,7647.782526871666,7646.255506607929,0.32342687166601536,-1.2035933920706157,0.32342687166601536,1.2035933920706157,UAM_V4
90,138,228,7645.0807,7644.944574293335,7642.80701754386,-0.13612570666555257,-2.2736824561407047,0.13612570666555257,2.2736824561407047,UAM_V4
90,139,229,7634.651,7634.692120517464,7632.576419213974,0.04112051746415091,-2.074580786025763,0.04112051746415091,2.074580786025763,UAM_V4
90,140,230,7630.9974,7631.071042942983,7628.826086956522,0.07364294298258756,-2.1713130434782215,0.07364294298258756,2.1713130434782215,UAM_V4
90,141,231,7620.1188,7619.714819610283,7618.138528138528,-0.40398038971761707,-1.9802718614719197,0.40398038971761707,1.9802718614719197,UAM_V4
90,142,232,7615.0338,7614.884920065516,7613.706896551724,-0.1488799344842846,-1.3269034482764255,0.1488799344842846,1.3269034482764255,UAM_V4
